City-Country,City,Country,Search Lats,Search Lngs,Actual Lats,Actual Lngs,Distance (mi),Max Temp (F),Humidity (%),Cloud Cover (%),Wind Speed (mph),Timestamp,Date,Hemisphere
"catumbela, ao",catumbela,ao,-12.805753413562229,13.856027275934025,-12.4211276,13.5494757,26.575372281696275,73.99,82,97,4.38,1605848845,2020-11-20 05:07:25,Southern
"sakhon nakhon, th",sakhon nakhon,th,16.98724209755416,104.25238333544115,17.1664211,104.1486055,12.380210914499221,84.2,62,20,5.82,1605848846,2020-11-20 05:07:26,Northern
"qeshm, ir",qeshm,ir,26.929207160669904,56.556695385293324,26.951627,56.2729278,1.5490784957330848,71.6,35,20,6.93,1605848847,2020-11-20 05:07:27,Northern
"valdivia, cl",valdivia,cl,-39.75716331211092,-76.7924281891013,-39.8335811,-73.215417,5.280017852383689,55.4,87,90,4.7,1605848684,2020-11-20 05:04:44,Southern
"khorixas, na",khorixas,na,-20.01298447415799,13.746776033137394,-20.3720648,14.959329,24.810329940947483,68.05,32,0,2.75,1605848849,2020-11-20 05:07:29,Southern
"balabac, ph",balabac,ph,8.361229583103821,114.43440130772944,8.1539618,117.1264753,14.3209797776476,85.26,72,67,11.12,1605848850,2020-11-20 05:07:30,Northern
"lashio, mm",lashio,mm,22.19231339744809,98.30416536667047,22.9664576,97.7525352,53.48879263197266,76.78,47,0,1.92,1605848851,2020-11-20 05:07:31,Northern
"velykoploske, ua",velykoploske,ua,46.991274940598686,29.747993744331467,47.01325079999999,29.6697768,1.5184021046086074,35.6,100,90,4.7,1605848853,2020-11-20 05:07:33,Northern
"launceston, au",launceston,au,-41.963382956818165,147.32948007307021,-41.43322149999999,147.1440875,36.63102575945543,77.0,23,80,11.41,1605848744,2020-11-20 05:05:44,Southern
"tommot, ru",tommot,ru,59.732444752798074,126.69926412502753,58.96370409999999,126.2725057,53.115439255036556,3.99,91,94,3.15,1605848855,2020-11-20 05:07:35,Northern
"krasnoselkup, ru",krasnoselkup,ru,65.06718664871104,84.9334626181465,65.69455599999999,82.525613,43.34751719916118,11.53,96,98,15.48,1605848857,2020-11-20 05:07:37,Northern
"bureya, ru",bureya,ru,50.09828975892401,129.842251099902,49.813474,129.8112705,19.67908694166429,20.59,88,100,5.97,1605848858,2020-11-20 05:07:38,Northern
"saint george, bm",saint george,bm,31.526498602419167,-57.4664724614108,32.3819877,-64.6769793,59.10924449033359,64.99,82,75,14.99,1605848823,2020-11-20 05:07:03,Northern
"maniitsoq, gl",maniitsoq,gl,64.6400195915759,-54.550845574870735,65.4076761,-52.90057179999999,53.040531281286654,29.82,94,66,11.7,1605848860,2020-11-20 05:07:40,Northern
"uwajima, jp",uwajima,jp,33.32432591273157,132.7534758934475,33.2235707,132.560384,6.961590182582816,66.2,72,75,11.41,1605848861,2020-11-20 05:07:41,Northern
"garowe, so",garowe,so,8.628083829246336,48.26246110889477,8.4084158,48.4837239,15.177763555548328,77.47,31,98,17.43,1605848862,2020-11-20 05:07:42,Northern
"tucuman, ar",tucuman,ar,-26.461934248790456,-63.916108520333026,-26.8082848,-65.2175903,23.930777690445165,71.6,68,90,5.82,1605848565,2020-11-20 05:02:45,Southern
"gualeguaychu, ar",gualeguaychu,ar,-32.66692503102619,-58.82620248907591,-33.0077778,-58.5111667,23.55091340550498,51.49,85,0,6.91,1605848865,2020-11-20 05:07:45,Southern
"tilichiki, ru",tilichiki,ru,59.68184191038341,172.79025158681952,60.43333299999999,166.0486109,51.923596307731984,-0.29,95,64,6.53,1605848866,2020-11-20 05:07:46,Northern
"ostrovnoy, ru",ostrovnoy,ru,68.73971277393613,42.32885941863978,68.0603191,39.4740385,46.94209066069577,37.22,92,93,28.07,1605848867,2020-11-20 05:07:47,Northern
"cap-haitien, ht",cap-haitien,ht,20.007803121173055,-72.08542853769863,19.7370362,-72.20676809999999,18.70839521949692,78.8,78,90,11.3,1605848868,2020-11-20 05:07:48,Northern
"odweyne, so",odweyne,so,9.305548882206807,46.41056432184834,9.410198200000002,45.06299019999999,7.230649845423732,73.26,28,0,19.19,1605848869,2020-11-20 05:07:49,Northern
"conceicao do mato dentro, br",conceicao do mato dentro,br,-18.982654784933672,-43.42409571415948,-19.0357443,-43.4247682,3.6681719671270443,66.79,92,66,1.16,1605848870,2020-11-20 05:07:50,Southern
"yangambi, cd",yangambi,cd,0.5985839262264534,24.429175788022263,0.8070691,24.4529792,14.405094283537313,72.01,96,97,0.49,1605848871,2020-11-20 05:07:51,Northern
"qasigiannguit, gl",qasigiannguit,gl,68.06002490183138,-50.744937460906556,68.8219742,-51.1817888,52.64619675697387,32.0,91,100,17.22,1605848873,2020-11-20 05:07:53,Northern
"sindor, ru",sindor,ru,62.93166605167298,52.2416515382057,62.8666131,51.89895989999999,4.494774785709487,36.73,88,100,15.64,1605848874,2020-11-20 05:07:54,Northern
"talnakh, ru",talnakh,ru,68.80607092398114,92.99435585138889,69.5,88.39999999999999,47.94640110474872,10.4,85,75,24.61,1605848825,2020-11-20 05:07:05,Northern
"temiscaming, ca",temiscaming,ca,47.048593904861036,-78.90573718536808,46.718235,-79.10011999999999,22.825849367582954,37.4,93,100,5.7,1605848876,2020-11-20 05:07:56,Northern
"alanya, tr",alanya,tr,36.32224918528023,31.64857467090627,36.544443,31.995408,15.35228041555485,57.2,87,75,6.93,1605848877,2020-11-20 05:07:57,Northern
"kutum, sd",kutum,sd,14.584315685556717,24.60913811967461,14.2025174,24.6638251,26.38000679468582,61.92,32,0,5.3,1605848878,2020-11-20 05:07:58,Northern
"san felipe, mx",san felipe,mx,30.931116981606053,-114.45855958097735,31.0250709,-114.8407776,6.491660909387239,59.0,54,5,11.41,1605848879,2020-11-20 05:07:59,Northern
"shaoyang, cn",shaoyang,cn,27.16574187315618,110.82415653067085,27.23895,111.467674,5.0582492290404435,64.09,61,88,5.39,1605848880,2020-11-20 05:08:00,Northern
"ko samui, th",ko samui,th,10.375833832774873,101.35823250295209,9.5120168,100.0135929,59.684655631019965,87.8,70,20,6.93,1605848881,2020-11-20 05:08:01,Northern
"irbil, iq",irbil,iq,36.52307041106408,44.42283865830464,36.190073,43.9930303,23.00815456432559,48.2,70,75,5.82,1605848882,2020-11-20 05:08:02,Northern
"phultala, bd",phultala,bd,22.672044772473313,89.68368567228174,22.9406641,89.44585099999999,18.56000918130166,86.25,52,8,1.52,1605848846,2020-11-20 05:07:26,Northern
"ostersund, se",ostersund,se,62.48342435082665,13.958886976648046,63.1766832,14.6360681,47.90009238779613,32.0,92,99,23.04,1605848886,2020-11-20 05:08:06,Northern
"oriximina, br",oriximina,br,-1.0603156553002862,-56.383862094105694,-1.7618311,-55.86381549999999,48.470574378748424,75.16,89,71,3.6,1605848887,2020-11-20 05:08:07,Southern
"napasar, in",napasar,in,27.747267902128584,73.73710588329291,27.965266,73.56319409999999,15.062381159441319,71.47,21,0,1.92,1605848889,2020-11-20 05:08:09,Northern
"hare bay, ca",hare bay,ca,49.57628904015036,-54.03924423314889,48.8541751,-54.01191,49.893808768488945,24.8,68,0,6.93,1605848890,2020-11-20 05:08:10,Northern
"soavinandriana, mg",soavinandriana,mg,-19.520995815764095,46.27009659807371,-19.1694375,46.7405959,24.29060346633575,73.35,60,5,0.63,1605848891,2020-11-20 05:08:11,Southern
"tingi, tz",tingi,tz,-11.916160666716252,36.199892440131805,-11.3155381,35.0583032,41.49947234025134,74.25,57,10,4.83,1605848892,2020-11-20 05:08:12,Southern
"lang suan, th",lang suan,th,10.14224069192015,98.8690310163334,9.9133345,99.05710889999999,15.816066039673709,86.0,74,40,5.82,1605848893,2020-11-20 05:08:13,Northern
"yertsevo, ru",yertsevo,ru,60.76103461265663,39.57892552136204,60.79173720000001,40.0825252,2.1213674690857376,39.7,89,100,14.61,1605848894,2020-11-20 05:08:14,Northern
"poronaysk, ru",poronaysk,ru,49.89411348044695,144.38964709066067,49.2213887,143.1001742,46.4813095042244,27.09,81,100,11.74,1605848895,2020-11-20 05:08:15,Northern
"margate, gb",margate,gb,51.57133399896773,1.3954793999541266,51.38964600000001,1.3868339,12.55356775710092,39.99,78,7,7.0,1605848896,2020-11-20 05:08:16,Northern
"baculin, ph",baculin,ph,7.270987442602035,128.45535473757434,7.464776000000001,126.5923,13.389644883911577,84.6,76,53,9.01,1605848897,2020-11-20 05:08:17,Northern
"ouesso, cg",ouesso,cg,2.297348585662121,16.768234958098446,1.6154718,16.0463837,47.11365901676664,73.35,85,54,2.73,1605848898,2020-11-20 05:08:18,Northern
"luderitz, na",luderitz,na,-27.03766258794048,14.82586587447787,-26.6420382,15.1639082,27.33530881836023,60.93,75,0,3.76,1605848899,2020-11-20 05:08:19,Southern
"bani walid, ly",bani walid,ly,31.142637498636034,14.06001766908642,31.7975831,14.053676,45.25287322581324,58.23,88,1,7.52,1605848900,2020-11-20 05:08:20,Northern
"ardabil, ir",ardabil,ir,38.35963879707862,48.107808509712754,38.2537363,48.2999901,7.317237133305736,33.8,100,90,13.87,1605848901,2020-11-20 05:08:21,Northern
"yumen, cn",yumen,cn,39.81179624906025,96.14412501463386,40.29184300000001,97.04567800000001,33.16839553926316,23.88,89,100,6.98,1605848903,2020-11-20 05:08:23,Northern
"ishigaki, jp",ishigaki,jp,24.942886435381894,124.18093870084391,24.3406856,124.1555837,41.608521384467764,84.2,79,40,10.29,1605848906,2020-11-20 05:08:26,Northern
"saldanha, za",saldanha,za,-33.56623958787871,16.122555780114766,-33.0276981,17.9176312,37.21003641686108,60.8,63,0,4.7,1605848907,2020-11-20 05:08:27,Southern
"bathsheba, bb",bathsheba,bb,13.813369320405627,-57.53071068132846,13.2101681,-59.5253545,41.677642081761896,78.8,83,40,21.92,1605848909,2020-11-20 05:08:29,Northern
"turayf, sa",turayf,sa,30.897364213474077,39.02913065499061,31.6660775,38.6634693,53.11354840724289,46.4,87,20,13.87,1605848910,2020-11-20 05:08:30,Northern
"pandamatenga, bw",pandamatenga,bw,-19.060000846121895,25.622139319146044,-18.5325039,25.6539512,36.44692380580237,77.56,56,16,5.7,1605848911,2020-11-20 05:08:31,Southern
"tsogni, ga",tsogni,ga,-3.2048191184292563,9.798558208315768,-2.7404898,10.0303723,32.08241377321739,74.98,95,99,4.27,1605848912,2020-11-20 05:08:32,Southern
"karema, tz",karema,tz,-6.944777080663101,30.194143285202387,-6.81357,30.4326,9.065634420952138,74.64,70,0,2.91,1605848913,2020-11-20 05:08:33,Southern
"erie, us",erie,us,42.37214024326954,-79.77257365637459,42.12922409999999,-80.085059,16.78407094114009,59.0,35,40,11.41,1605848914,2020-11-20 05:08:34,Northern
"cape coast, gh",cape coast,gh,4.75892290767662,-0.9635916824963147,5.13151,-1.2794744,25.743567739627483,77.34,84,18,4.79,1605848915,2020-11-20 05:08:35,Northern
"namibe, ao",namibe,ao,-14.61992202500376,11.541262607437858,-15.1978317,12.1575544,39.93014565501716,67.06,73,26,6.6,1605848916,2020-11-20 05:08:36,Southern
"glushkovo, ru",glushkovo,ru,51.262257781674094,34.47501695237605,51.341478,34.6310084,5.473649245613285,25.16,95,0,13.06,1605848917,2020-11-20 05:08:37,Northern
"vila franca do campo, pt",vila franca do campo,pt,38.082320995963784,-20.08664906014357,37.7157269,-25.4345063,25.329487083250942,62.6,82,20,11.41,1605848918,2020-11-20 05:08:38,Northern
"mochudi, bw",mochudi,bw,-24.358730882330278,26.137819947187836,-24.3994943,26.1477598,2.816511429677965,68.0,77,0,4.7,1605848920,2020-11-20 05:08:40,Southern
"xiaoweizhai, cn",xiaoweizhai,cn,25.70888268126467,107.55948955384378,26.436925,106.636104,50.30342471824385,64.24,86,100,4.76,1605848921,2020-11-20 05:08:41,Northern
"kachug, ru",kachug,ru,54.17643476001115,105.93520024888142,53.9632842,105.8802353,14.727444920780892,14.47,84,94,8.43,1605848922,2020-11-20 05:08:42,Northern
"ambilobe, mg",ambilobe,mg,-12.609178532037959,49.9688554104936,-13.2026069,49.0514094,41.00239569219447,79.27,64,94,4.72,1605848923,2020-11-20 05:08:43,Southern
"sao miguel do iguacu, br",sao miguel do iguacu,br,-25.284813489883092,-54.24754910100249,-25.3447267,-54.2307196,4.139648997299241,66.2,87,0,4.7,1605848649,2020-11-20 05:04:09,Southern
"rantepao, id",rantepao,id,-2.92386816148408,120.7908281932788,-2.9703732,119.8757349,3.2132235225944976,81.36,69,80,3.31,1605848925,2020-11-20 05:08:45,Southern
"ugoofaaru, mv",ugoofaaru,mv,6.275011240936919,67.53239018561806,5.6675876,73.03019680000001,41.96938640466564,82.56,74,97,8.16,1605848926,2020-11-20 05:08:46,Northern
"jumla, np",jumla,np,29.617433936331594,81.98672181559937,29.2787765,82.12783999999999,23.399228884623135,55.13,25,0,3.76,1605848927,2020-11-20 05:08:47,Northern
"jinzhou, cn",jinzhou,cn,41.36668491184574,121.00087182333976,41.095685,121.1268459,18.72449349903538,35.55,66,0,11.54,1605848928,2020-11-20 05:08:48,Northern
"hjorring, dk",hjorring,dk,57.48925645508265,9.934669725459742,57.4567788,9.995763499999999,2.244014167078952,39.99,78,35,1.99,1605848929,2020-11-20 05:08:49,Northern
"koslan, ru",koslan,ru,63.97854965138865,49.338594502509835,63.45297779999999,48.8833546,36.3139111285206,39.78,85,100,15.93,1605848930,2020-11-20 05:08:50,Northern
"campos gerais, br",campos gerais,br,-21.179181208287176,-45.75009183126426,-21.2370782,-45.7592067,4.000340212500214,61.75,94,25,3.76,1605848931,2020-11-20 05:08:51,Southern
"punta alta, ar",punta alta,ar,-39.288066558019445,-62.17522789901882,-38.8766081,-62.0707813,28.429349551574695,65.8,52,0,11.72,1605848932,2020-11-20 05:08:52,Southern
"robertsport, lr",robertsport,lr,6.582037440145882,-11.84249042963981,6.7509063,-11.367219,11.667840948700903,78.15,81,35,1.48,1605848933,2020-11-20 05:08:53,Northern
"valday, ru",valday,ru,58.127160530895566,32.93132419438618,57.9804585,33.24589,10.13624397547064,42.1,87,100,15.35,1605848934,2020-11-20 05:08:54,Northern
"kichera, ru",kichera,ru,55.71517887403155,111.17653847173892,55.9391035,110.1068981,15.47186925140799,7.56,81,100,1.63,1605848936,2020-11-20 05:08:56,Northern
"kozluk, tr",kozluk,tr,38.437328071866716,41.37279755335828,38.189291,41.4905427,17.13789686519144,41.0,93,75,4.7,1605848937,2020-11-20 05:08:57,Northern
"pemba, mz",pemba,mz,-13.060674039427596,40.638717264425225,-12.9732026,40.5178014,6.043759895559101,82.4,78,40,11.41,1605848938,2020-11-20 05:08:58,Southern
"antigonish, ca",antigonish,ca,45.42980887140885,-61.77053340569341,45.62266049999999,-61.9928026,13.324908636460464,36.0,87,100,9.17,1605848940,2020-11-20 05:09:00,Northern
"havre-saint-pierre, ca",havre-saint-pierre,ca,50.570506195375884,-64.57966120347682,50.24181400000001,-63.598569,22.71068958503093,23.0,73,90,5.82,1605848941,2020-11-20 05:09:01,Northern
"waingapu, id",waingapu,id,-10.212290745434544,118.89510138330115,-9.738685799999999,120.182022,32.72330482139919,90.46,54,12,13.91,1605848943,2020-11-20 05:09:03,Southern
"galesong, id",galesong,id,-6.073263148561253,117.43142192087976,-5.3383734,119.3831026,50.776541681224785,87.8,70,20,8.05,1605848944,2020-11-20 05:09:04,Southern
"paidha, ug",paidha,ug,1.9511292493047137,30.869679712428564,2.4183904,30.9847642,32.284986068653396,67.1,79,0,1.19,1605848946,2020-11-20 05:09:06,Northern
"forio, it",forio,it,39.92000423265023,13.255412285037892,40.7382914,13.8605512,56.53881081004605,60.01,67,40,4.7,1605848947,2020-11-20 05:09:07,Northern
"taltal, cl",taltal,cl,-25.222126031214017,-78.89300623920329,-25.406494,-70.4803027,12.738737844788211,56.35,72,0,0.72,1605848948,2020-11-20 05:09:08,Southern
"coromandel, br",coromandel,br,-18.282966497146944,-47.39918944390632,-18.4785912,-47.19786939999999,13.516511691369061,65.05,98,19,4.34,1605848764,2020-11-20 05:06:04,Southern
"ileza, ru",ileza,ru,60.90703865167265,43.92759360541032,61.0491122,43.8928625,9.816443163844383,38.3,88,100,15.9,1605848950,2020-11-20 05:09:10,Northern
"namwala, zm",namwala,zm,-16.2480432705443,25.763482727017873,-15.7524721,26.4370933,34.24104125335837,75.18,70,70,2.71,1605848951,2020-11-20 05:09:11,Southern
"broken hill, au",broken hill,au,-32.349010729131194,139.81249286260982,-31.9539135,141.4539396,27.29888525781278,96.8,8,39,10.29,1605848953,2020-11-20 05:09:13,Southern
"telimele, gn",telimele,gn,10.976469229926636,-12.8698049485983,10.9089364,-13.0299331,4.666119727937772,68.05,98,8,0.92,1605848954,2020-11-20 05:09:14,Northern
"maningrida, au",maningrida,au,-12.10402917787782,133.9912253015275,-12.0561356,134.2311504,3.3091633923825974,90.18,57,35,16.28,1605848955,2020-11-20 05:09:15,Southern
"policka, cz",policka,cz,49.712777008239954,16.314364960129012,49.714934,16.2658769,0.14903539234896407,36.0,86,97,8.01,1605848956,2020-11-20 05:09:16,Northern
"pankovka, ru",pankovka,ru,58.81939143076755,30.93702285789604,58.5060296,31.2080691,21.65145192516975,39.69,72,100,12.77,1605848957,2020-11-20 05:09:17,Northern
"willowmore, za",willowmore,za,-33.658473376723215,23.385221095309873,-33.287665,23.4895156,25.62066899598917,52.11,77,20,10.25,1605848958,2020-11-20 05:09:18,Southern
"dolores hidalgo, mx",dolores hidalgo,mx,21.04773792012989,-100.94924771995574,21.151597,-100.9367183,7.176049071745522,52.0,84,3,5.66,1605848959,2020-11-20 05:09:19,Northern
"shahr-e babak, ir",shahr-e babak,ir,30.38458835043177,54.51891985631545,30.11721589999999,55.1210303,18.473857337566283,50.31,67,45,7.02,1605848960,2020-11-20 05:09:20,Northern
