City-Country,City,Country,Search Lats,Search Lngs,Actual Lats,Actual Lngs,Distance (mi),Max Temp (F),Humidity (%),Cloud Cover (%),Wind Speed (mph),Timestamp,Date,Hemisphere
"cuamba, mz",cuamba,mz,-15.200113784075484,36.08999629110065,-14.8000877,36.5337731,27.63944002675515,82.33,49,0,5.82,1605848962,2020-11-20 05:09:22,Southern
"gerash, ir",gerash,ir,27.74556502882487,53.866901326593165,27.6903817,54.1501922,3.8128421326741977,53.6,66,0,5.06,1605848963,2020-11-20 05:09:23,Northern
"assiniboia, ca",assiniboia,ca,49.08862616858022,-105.4532279863193,49.63356719999999,-105.991792,37.65220708258295,10.4,78,91,12.75,1605848964,2020-11-20 05:09:24,Northern
"springbok, za",springbok,za,-28.984028388125324,17.435283578738762,-29.6654618,17.8880075,47.083024506430014,66.36,41,0,19.13,1605848965,2020-11-20 05:09:25,Southern
"brest, by",brest,by,52.18694737374233,23.543905139092544,52.0996507,23.7636662,6.0316846187988125,44.6,93,75,13.42,1605848966,2020-11-20 05:09:26,Northern
"brownwood, us",brownwood,us,32.22701399939234,-98.86226583448696,31.7093197,-98.9911611,35.76961880702649,62.6,63,90,5.82,1605848783,2020-11-20 05:06:23,Northern
"beisfjord, no",beisfjord,no,68.42191327528263,17.991644361164873,68.37617689999999,17.5960148,3.1601134325706406,32.0,93,100,16.11,1605848970,2020-11-20 05:09:30,Northern
"bulls, nz",bulls,nz,-40.210192790494325,175.11188589600005,-40.1745751,175.3848403,2.460972070320507,66.99,66,42,5.01,1605848971,2020-11-20 05:09:31,Southern
"mizan teferi, et",mizan teferi,et,7.4797976950846845,35.32834920809799,6.9936468,35.5821994,33.59015585121439,68.4,72,3,1.99,1605848973,2020-11-20 05:09:33,Northern
"barcelos, br",barcelos,br,-1.3635905181644574,-63.150385691858844,-0.973993,-62.92557169999999,26.91888770895058,75.58,93,12,3.42,1605848974,2020-11-20 05:09:34,Southern
"tha chang, th",tha chang,th,9.271017533478258,98.79175721335639,9.3531561,98.8755443,5.675289871429792,89.01,79,40,9.17,1605848975,2020-11-20 05:09:35,Northern
"wau, pg",wau,pg,-7.478136327427549,147.03249686397362,-7.337136999999999,146.7159362,9.742220843556824,76.69,69,55,4.72,1605848976,2020-11-20 05:09:36,Southern
"missoula, us",missoula,us,46.80979483353414,-113.53002005217851,46.8721284,-113.9940314,4.30688132742292,35.6,80,90,6.93,1605848813,2020-11-20 05:06:53,Northern
"mimongo, ga",mimongo,ga,-0.9855513670410261,11.35582255972514,-1.6240082,11.6001358,44.11359670463821,68.4,94,100,1.52,1605848978,2020-11-20 05:09:38,Southern
"nea kallikratia, gr",nea kallikratia,gr,40.17136051742639,22.980299527611066,40.3131226,23.0632227,9.79492271964412,48.99,68,77,2.57,1605848979,2020-11-20 05:09:39,Northern
"nhulunbuy, au",nhulunbuy,au,-12.98584079813503,140.89035007014638,-12.1825,136.781944,55.50610496416781,87.8,62,75,17.22,1605848980,2020-11-20 05:09:40,Southern
"domoni, km",domoni,km,-12.727090700786462,44.25399345487648,-12.2632051,44.5290018,32.05175550450688,80.51,71,81,7.36,1605848981,2020-11-20 05:09:41,Southern
"karachi, pk",karachi,pk,24.673071862645784,66.9292849805266,24.8607343,67.0011364,12.966366167131694,71.6,33,0,8.05,1605848972,2020-11-20 05:09:32,Northern
"pahalgam, in",pahalgam,in,33.948988594077576,75.70581845158614,34.0160751,75.3149796,4.635281375045279,34.72,71,23,2.89,1605848984,2020-11-20 05:09:44,Northern
"caluquembe, ao",caluquembe,ao,-13.109762425099845,14.139797354306296,-13.7866658,14.687936,46.770025703950346,59.52,76,74,1.81,1605848985,2020-11-20 05:09:45,Southern
"were ilu, et",were ilu,et,10.406672680972889,39.0513253024703,10.5914216,39.4372601,12.765059256721235,51.46,51,0,7.18,1605848986,2020-11-20 05:09:46,Northern
"bastia, fr",bastia,fr,42.831223722915325,8.807240418574423,42.697283,9.450880999999999,9.254512956859674,57.0,76,93,16.11,1605848987,2020-11-20 05:09:47,Northern
"villazon, bo",villazon,bo,-22.709667886954037,-65.51940277814437,-22.0853991,-65.5975218,43.13328651422498,44.11,70,7,9.15,1605848989,2020-11-20 05:09:49,Southern
"aloleng, ph",aloleng,ph,15.324763243936289,116.87484281889175,16.1160674,119.7802409,54.674444080296496,87.46,64,0,3.65,1605848990,2020-11-20 05:09:50,Northern
"yurimaguas, pe",yurimaguas,pe,-6.001269858267861,-76.35857764331506,-5.900771700000001,-76.1129048,6.943829237194755,72.84,95,95,0.81,1605848991,2020-11-20 05:09:51,Southern
"perbaungan, id",perbaungan,id,3.93063888959108,99.33378415466734,3.5674986,98.97974669999999,25.090849459599706,86.0,79,40,4.7,1605848992,2020-11-20 05:09:52,Northern
"corsicana, us",corsicana,us,31.75287363212425,-96.14117626357896,32.0954304,-96.46887269999999,23.668649666541196,66.0,77,1,11.41,1605848993,2020-11-20 05:09:53,Northern
"antofagasta, cl",antofagasta,cl,-23.546541064465515,-79.88620459289815,-23.6509279,-70.39750219999999,7.212513871454677,59.0,82,20,12.75,1605848968,2020-11-20 05:09:28,Southern
"mmabatho, za",mmabatho,za,-25.869215075178317,25.08351263285789,-25.8377623,25.594752,2.1732010181916603,68.0,64,0,4.7,1605848995,2020-11-20 05:09:55,Southern
"killybegs, ie",killybegs,ie,55.411916081653004,-9.032330702418136,54.6347625,-8.4547084,53.69672295575355,52.0,96,100,8.01,1605848996,2020-11-20 05:09:56,Northern
"kalmunai, lk",kalmunai,lk,7.893790401858368,83.67134721596267,7.414383099999999,81.8306334,33.124213384051615,83.75,72,9,7.25,1605848998,2020-11-20 05:09:58,Northern
"madhupur, in",madhupur,in,24.3208625719531,86.71660936204478,24.2659039,86.6467108,3.797319669562018,79.45,46,33,2.44,1605848999,2020-11-20 05:09:59,Northern
"shebunino, ru",shebunino,ru,46.00511891638439,141.52023133276924,46.4354039,141.859272,29.73015128886636,33.4,92,100,16.89,1605849000,2020-11-20 05:10:00,Northern
"johi, pk",johi,pk,26.954947645627655,67.12180192930808,26.694083,67.6215179,18.024206457911326,72.19,21,0,4.92,1605849001,2020-11-20 05:10:01,Northern
"bridlington, gb",bridlington,gb,54.66666728301661,0.37858455433757854,54.08535,-0.198802,40.16559124535013,39.2,86,25,4.7,1605849003,2020-11-20 05:10:03,Northern
"abha, sa",abha,sa,18.796673325024216,43.35725562117426,18.2464685,42.5117238,38.015904134937834,53.6,100,0,1.34,1605849004,2020-11-20 05:10:04,Northern
"kingston, us",kingston,us,41.9814495810507,-73.7235479215172,41.9270367,-73.9973608,3.7596087414135213,39.99,65,100,5.01,1605849005,2020-11-20 05:10:05,Northern
"lyuban, by",lyuban,by,53.551035282911045,28.845159815058395,52.7917612,27.9992898,52.46135518135158,42.24,94,100,10.25,1605849006,2020-11-20 05:10:06,Northern
"port macquarie, au",port macquarie,au,-31.626518444744427,156.06798824842235,-31.433333,152.9,13.347973361276912,82.99,51,94,1.01,1605849009,2020-11-20 05:10:09,Southern
"lokosovo, ru",lokosovo,ru,61.990155086441916,75.27816076202208,61.131389,74.855278,59.3356650681404,21.31,97,100,15.77,1605849010,2020-11-20 05:10:10,Northern
"vadakku valliyur, in",vadakku valliyur,in,8.391185967972334,77.65355901700485,8.3966911,77.6065361,0.3803721121578759,86.0,66,40,4.7,1605849011,2020-11-20 05:10:11,Northern
"west wendover, us",west wendover,us,40.45034022217362,-113.99554472737601,40.739097,-114.073345,19.951388073846662,42.8,45,1,19.46,1605849012,2020-11-20 05:10:12,Northern
"hayden, us",hayden,us,47.671137335346884,-116.698665790061,47.76601609999999,-116.7865815,6.555562324148665,37.99,86,20,4.7,1605848846,2020-11-20 05:07:26,Northern
"jishou, cn",jishou,cn,29.009097561949034,109.65758687661469,28.262375,109.698015,51.59411920678841,56.08,76,98,6.46,1605849014,2020-11-20 05:10:14,Northern
"skegness, gb",skegness,gb,53.44744880880509,0.6645950309393527,53.146403,0.337881,20.80048754071804,36.0,92,0,1.12,1605849015,2020-11-20 05:10:15,Northern
"felipe carrillo puerto, mx",felipe carrillo puerto,mx,19.643677942496225,-88.03934608018768,19.5803342,-88.0440957,4.376678525453985,71.78,98,98,3.47,1605849016,2020-11-20 05:10:16,Northern
"agadir, ma",agadir,ma,30.83044062065545,-11.240419403583275,30.3875495,-9.5705254,30.601160911869158,60.8,82,65,10.29,1605849017,2020-11-20 05:10:17,Northern
"newala, tz",newala,tz,-11.22940054249402,39.5039745246319,-10.9439728,39.2739088,19.721371392238876,76.24,75,34,5.97,1605849018,2020-11-20 05:10:18,Southern
"helena, us",helena,us,47.36272520309137,-112.88078442148138,46.5891452,-112.0391057,53.449809781170615,35.6,69,75,21.92,1605849019,2020-11-20 05:10:19,Northern
"el alto, pe",el alto,pe,-3.8368128126028296,-81.49069718495585,-4.2670663,-81.2170738,29.727975086175547,67.46,73,98,12.73,1605849021,2020-11-20 05:10:21,Southern
"sibolga, id",sibolga,id,2.086873846929251,97.75907038756986,1.7368371,98.78511209999999,24.18547204558264,83.66,72,99,4.99,1605849022,2020-11-20 05:10:22,Northern
"ust-kuyga, ru",ust-kuyga,ru,70.35509561271587,136.50214621876358,69.99674999999999,135.5713649,24.759565602833245,-7.17,87,91,10.83,1605849023,2020-11-20 05:10:23,Northern
"okha, ru",okha,ru,54.18618999010923,145.036499261227,53.5893264,142.9521874,41.239749255613496,26.13,89,93,18.84,1605849024,2020-11-20 05:10:24,Northern
"saucillo, mx",saucillo,mx,28.24560150284698,-104.32123074292822,28.027181,-105.2916729,15.091566848710219,63.5,47,0,6.53,1605849025,2020-11-20 05:10:25,Northern
"cartagena del chaira, co",cartagena del chaira,co,1.7085126497537004,-74.55006081451532,1.3338448,-74.84340259999999,25.887335789999735,72.84,93,0,1.88,1605849026,2020-11-20 05:10:26,Northern
"kokstad, za",kokstad,za,-30.563035225328477,29.908530912420048,-30.5096279,29.4063234,3.6901307793896123,51.82,82,82,2.06,1605849027,2020-11-20 05:10:27,Southern
"new philadelphia, us",new philadelphia,us,40.195244910757424,-81.15014753229387,40.4897871,-81.4456706,20.351125836542394,60.8,26,1,8.05,1605849028,2020-11-20 05:10:28,Northern
